,App Name,Train Loss,Test Loss,Average Test Loss
0,automotive_bitcount,77.43674786388874,66.01258735358715,64.33675404109061
1,automotive_qsort1,76.85375363752246,55.39548052661121,55.78880277063698
2,automotive_susan_c,75.53345975279808,69.37508404999971,69.67243189580739
3,automotive_susan_e,73.88703166693449,53.46931765973568,54.11184525027871
4,automotive_susan_s,74.06145076081157,64.60698124393821,62.74415933467448
5,security_blowfish_d,75.97621927410364,79.03579850494862,78.54274391576648
6,security_blowfish_e,72.99794594198465,78.82298698276281,79.38132598020137
7,security_rijndael_d,71.42377431690693,88.92556904256344,88.65449572458863
8,security_rijndael_e,69.88990960270166,93.30223005264997,93.16591051504015
9,security_sha,71.77664125710726,75.48135994374752,75.70509496808052
10,telecom_adpcm_c,75.7040697671473,60.22807940095663,59.99395357631147
11,telecom_adpcm_d,75.41205583512783,60.55854308977723,60.70460776485503
12,telecom_CRC32,71.48913832753897,62.70814427733421,62.32734877072275
13,consumer_jpeg_c,71.01045865938067,52.581585828214884,52.362099173888566
14,consumer_jpeg_d,79.9747963398695,112.04399380087852,110.16661327064037
15,consumer_tiff2bw,78.10310332477093,77.3979689180851,76.90379231706261
16,consumer_tiff2rgba,77.0065560489893,81.88671784102917,81.64755140960216
17,consumer_tiffdither,72.11686687916517,72.71653432771564,72.34727371513844
18,consumer_tiffmedian,78.34363193437457,51.68282522261143,51.489163070246576
19,network_dijkstra,76.5481201224029,70.78508280217648,70.52200753971934
20,network_patricia,71.95153021626174,106.74595059454441,107.7971742555499
21,office_stringsearch1,70.71943321079016,78.99298234283924,78.56862378694117
22,bzip2d,78.469213552773,64.48516597598791,64.20305336222053
23,bzip2e,78.19461426325142,54.55329617485404,55.3280181106925
